date,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-1-10 0:00,2.3,7.5,12.87,-1.0,-1.0,-1.0,-1.0,385.4,57.8,0.0005,1761080.0
2021-1-10 4:00,2.4,7.5,12.85,-1.0,-1.0,-1.0,-1.0,385.0,56.5,0.001,1923350.0
2021-1-10 8:00,2.4,7.5,12.8,-1.0,-1.0,-1.0,-1.0,384.9,56.7,0.001,1921390.0
2021-1-10 12:00,2.8,7.5,12.95,-1.0,-1.0,-1.0,-1.0,387.0,54.2,0.001,1877640.0
2021-1-10 16:00,3.4,7.52,12.9,-1.0,-1.0,-1.0,0.41,385.8,51.4,0.001,1869980.0
2021-1-10 20:00,3.5,7.53,12.87,-1.0,-1.0,-1.0,0.37,385.5,51.4,0.001,1840890.0
2021-1-11 0:00,3.5,7.51,12.85,-1.0,-1.0,-1.0,0.4,385.7,49.7,0.0005,1707950.0
2021-1-11 4:00,3.5,7.51,12.78,-1.0,-1.0,-1.0,0.46,385.3,49.5,0.001,1741630.0
2021-1-11 8:00,3.4,7.49,12.72,-1.0,-1.0,-1.0,0.37,385.5,52.5,0.001,1771620.0
2021-1-11 12:00,3.8,7.49,12.74,-1.0,-1.0,-1.0,0.36,386.0,48.6,0.001,1852260.0
2021-1-11 16:00,3.4,7.5,12.67,-1.0,-1.0,0.022,0.33,380.8,52.3,0.0004,1587020.0
2021-1-11 20:00,3.1,7.47,12.66,-1.0,-1.0,0.033,0.41,381.2,93.5,0.001,3099460.0
2021-1-12 0:00,2.9,7.51,12.64,-1.0,-1.0,0.027,0.39,383.2,67.7,0.001,2301790.0
2021-1-12 4:00,2.7,7.49,12.6,-1.0,-1.0,0.029,0.43,383.6,60.1,0.001,2026800.0
2021-1-12 8:00,2.5,7.48,12.58,-1.0,-1.0,0.021,0.39,384.3,54.8,0.001,1788180.0
2021-1-12 12:00,3.2,7.51,12.64,-1.0,-1.0,0.023,0.34,383.0,48.5,0.001,1850110.0
2021-1-12 16:00,3.9,7.52,12.64,-1.0,-1.0,0.022,0.32,381.9,46.3,0.001,1645750.0
2021-1-12 20:00,3.7,7.52,12.59,-1.0,-1.0,0.023,0.38,381.3,42.8,0.001,1707280.0
2021-1-13 0:00,3.5,7.49,12.47,-1.0,-1.0,0.024,0.4,381.2,41.2,0.001,1564720.0
2021-1-13 4:00,3.4,7.48,12.42,-1.0,-1.0,0.025,0.44,378.6,40.9,0.001,1826150.0
2021-1-13 8:00,3.3,7.49,12.35,-1.0,-1.0,0.023,0.43,378.8,37.0,0.001,1653330.0
2021-1-13 12:00,4.0,7.5,12.37,-1.0,-1.0,0.027,0.34,376.9,41.6,0.001,1880580.0
2021-1-13 16:00,5.2,7.52,12.29,-1.0,-1.0,0.022,0.35,376.3,38.3,0.001,1952920.0
2021-1-13 20:00,5.3,7.52,12.29,-1.0,-1.0,0.025,0.39,376.8,37.7,0.001,1851120.0
2021-1-14 0:00,5.1,7.5,12.22,-1.0,-1.0,0.025,0.39,377.5,34.7,0.001,1637720.0
2021-1-14 4:00,4.9,7.5,12.2,-1.0,-1.0,0.026,0.46,377.6,31.4,0.001,1494760.0
2021-1-14 8:00,5.3,7.5,12.05,-1.0,-1.0,0.022,0.41,377.1,33.3,0.002,2259480.0
2021-1-14 12:00,5.4,7.5,12.27,-1.0,-1.0,0.021,0.36,377.9,31.5,0.001,1446370.0
2021-1-14 16:00,6.7,7.52,12.88,3.03,0.025,0.022,0.33,374.3,32.9,0.001,1644920.0
2021-1-14 20:00,6.0,7.49,12.83,3.01,0.025,0.024,0.37,376.3,32.4,0.001,1646890.0
2021-1-15 0:00,5.9,7.48,12.71,2.76,0.025,0.022,0.37,377.2,33.1,0.001,1467270.0
2021-1-15 4:00,5.9,7.47,12.66,2.89,0.025,0.024,0.38,376.8,32.4,0.001,1395910.0
2021-1-15 8:00,5.7,7.46,12.62,3.0,0.025,0.019,0.38,376.9,33.4,0.001,1527620.0
2021-1-15 12:00,6.5,7.5,12.63,3.03,0.025,0.022,0.31,374.0,32.9,0.001,1631460.0
2021-1-15 16:00,8.0,7.53,12.6,3.16,0.025,0.02,0.33,369.6,28.5,0.001,1423200.0
2021-1-15 20:00,7.1,7.53,12.66,3.7,0.025,0.023,0.37,375.6,46.5,0.002,2004100.0
2021-1-16 0:00,6.6,7.52,12.54,3.5,0.025,0.026,0.37,377.5,55.6,0.001,2229490.0
2021-1-16 4:00,6.4,7.53,12.45,3.38,0.025,0.025,0.37,379.1,51.5,0.001,2110360.0
2021-1-16 8:00,5.9,7.54,12.35,3.42,0.025,0.022,0.38,381.5,49.9,0.001,1910130.0
2021-1-16 12:00,6.9,7.57,12.39,3.14,0.025,0.022,0.32,380.3,43.7,0.001,1731320.0
2021-1-16 16:00,6.6,7.58,12.43,3.1,0.025,0.021,0.33,380.3,38.4,0.001,1473840.0
2021-1-16 20:00,6.2,7.59,12.36,2.96,0.025,0.021,0.36,382.1,36.0,0.001,1675570.0
2021-1-17 0:00,5.8,7.58,12.34,2.88,0.025,0.022,0.27,382.9,32.9,0.001,1728020.0
2021-1-17 4:00,5.5,7.56,12.29,2.72,0.025,0.021,0.38,383.0,31.8,0.001,1469340.0
2021-1-17 8:00,5.2,7.56,12.28,2.95,0.025,0.017,0.4,383.2,30.8,0.001,1456570.0
2021-1-17 12:00,5.7,7.59,12.38,2.76,0.025,0.02,0.33,383.1,28.4,0.001,1475430.0
2021-1-17 16:00,6.8,7.64,12.37,2.85,0.025,0.019,0.32,382.5,22.3,0.001,1430970.0
2021-1-17 20:00,6.0,7.61,12.41,2.76,0.025,0.018,0.36,382.7,26.4,0.001,1344420.0
2021-1-18 0:00,5.6,7.59,12.38,2.66,0.025,0.018,0.38,383.2,23.3,0.001,1228080.0
2021-1-18 4:00,5.6,7.55,12.12,2.54,0.025,0.021,0.41,384.2,23.7,0.001,1428640.0
2021-1-18 8:00,5.0,7.53,12.19,2.64,0.025,0.018,0.38,384.0,23.7,0.001,1314290.0
2021-1-18 12:00,5.9,7.56,12.29,2.86,0.025,0.018,0.31,383.2,23.1,0.001,1270850.0
2021-1-18 16:00,7.2,7.61,12.21,2.87,0.025,0.016,0.27,382.1,20.0,0.001,1192440.0
2021-1-18 20:00,7.3,7.62,12.23,2.62,0.025,-1.0,0.34,382.5,19.9,0.001,1157570.0
2021-1-19 0:00,6.6,7.59,12.13,2.74,0.025,-1.0,0.37,383.8,19.6,0.001,1350780.0
2021-1-19 4:00,5.9,7.57,12.19,2.72,0.025,-1.0,0.37,383.7,21.4,0.001,1269190.0
2021-1-19 8:00,5.6,7.56,12.22,2.86,0.025,-1.0,0.36,384.2,19.7,0.001,1226180.0
2021-1-19 12:00,6.2,7.61,12.46,2.86,0.025,-1.0,0.29,382.9,26.6,0.001,1425020.0
2021-1-19 16:00,6.9,7.6,12.09,3.08,0.025,0.019,0.32,381.6,35.5,0.001,1524010.0
2021-1-19 20:00,6.7,7.59,11.95,3.17,0.025,0.019,0.34,382.4,35.3,0.001,1516740.0
2021-1-20 0:00,6.5,7.58,11.9,3.13,0.025,0.02,0.36,381.2,36.0,0.001,1758260.0
2021-1-20 4:00,6.3,7.54,11.75,2.96,0.025,0.021,0.37,382.0,34.4,0.001,1749700.0
2021-1-20 8:00,6.1,7.54,11.71,3.1,0.025,0.019,0.38,381.7,34.1,0.001,1744810.0
2021-1-20 12:00,7.0,7.57,11.87,3.25,0.025,0.024,0.34,377.3,45.5,0.001,2255290.0
2021-1-20 16:00,7.9,7.62,11.91,3.97,0.025,0.023,0.34,376.3,40.8,0.002,1901500.0
2021-1-20 20:00,7.9,7.61,11.81,3.18,0.025,0.022,0.36,376.3,40.3,0.002,1977420.0
2021-1-21 0:00,8.3,7.57,11.56,3.34,0.025,0.023,0.36,376.3,35.4,0.003,2123920.0
2021-1-21 4:00,7.9,7.58,11.63,3.14,0.025,0.022,0.38,374.5,39.3,0.002,2194700.0
2021-1-21 8:00,8.3,7.57,11.36,3.05,0.025,0.021,0.41,375.2,36.3,0.004,2382500.0
2021-1-21 12:00,8.6,7.61,11.6,3.17,0.025,0.022,0.34,374.1,36.8,0.004,3945730.0
2021-1-21 16:00,9.8,7.69,11.73,3.16,0.025,0.022,0.35,373.8,33.2,0.002,2754190.0
2021-1-21 20:00,9.5,7.68,11.67,3.11,0.025,0.021,0.36,374.3,36.7,0.003,2469520.0
2021-1-22 0:00,9.1,7.62,11.56,3.11,0.025,0.023,0.38,373.7,36.3,0.003,2417440.0
